Date,cumulative_return
2020-06-04,0.9987553844076865
2020-06-05,1.0167060204805685
2020-06-08,1.0084404396088185
2020-06-09,1.0346990985596396
2020-06-10,1.072937268790957
2020-06-11,1.0087847439123523
2020-06-12,1.0212933006857188
2020-06-15,1.0492643398315906
2020-06-16,1.039917534230505
2020-06-17,1.0579787721536669
2020-06-18,1.0564108612618601
2020-06-19,1.0601537570257433
2020-06-22,1.0894473391919601
2020-06-23,1.0826265571639808
2020-06-24,1.0580500453471395
2020-06-25,1.0858865354065683
2020-06-26,1.0486934493599283
2020-06-29,1.0561877361857528
2020-06-30,1.090824303267069
2020-07-01,1.095399358374727
2020-07-02,1.107120949612155
2020-07-06,1.1384917681484543
2020-07-07,1.142054328119759
2020-07-08,1.1795256600565625
2020-07-09,1.2111504060341944
2020-07-10,1.2131827311877017
2020-07-13,1.1661443111277954
2020-07-14,1.2025832312033196
2020-07-15,1.1880803090358454
2020-07-16,1.1754118293740268
2020-07-17,1.1826961236675861
2020-07-20,1.2209969886755867
2020-07-21,1.198966148587164
2020-07-22,1.2114646727478902
2020-07-23,1.173576693916961
2020-07-24,1.176893161492654
2020-07-27,1.2064130399765285
2020-07-28,1.1824146865950114
2020-07-29,1.2106050642992476
2020-07-30,1.2257330649265912
2020-07-31,1.2305084119282048
2020-08-03,1.2761239732835616
2020-08-04,1.2998389756714621
2020-08-05,1.3063323007626353
2020-08-06,1.3140917495693019
2020-08-07,1.2964225785331582
2020-08-10,1.2930569658676756
2020-08-11,1.2558211548048188
2020-08-12,1.3264537226364022
2020-08-13,1.3298310453635624
2020-08-14,1.3434065632951708
2020-08-17,1.4315280067525444
2020-08-18,1.4252301288946825
2020-08-19,1.412377799237103
2020-08-20,1.4175487283859938
2020-08-21,1.4799986453968939
2020-08-24,1.4841624821180512
2020-08-25,1.4869856543464077
2020-08-26,1.4938060337180876
2020-08-27,1.4802684725105246
2020-08-28,1.5349821962472703
2020-08-31,1.5684427871111088
2020-09-01,1.616883199168696
2020-09-02,1.6679903063023773
2020-09-03,1.5146344684699915
2020-09-04,1.4739444713098349
2020-09-08,1.3814408536134128
2020-09-09,1.47558918673361
2020-09-10,1.4306091224534625
2020-09-11,1.4139821048186998
2020-09-14,1.4981491202318118
2020-09-15,1.5151226936953546
2020-09-16,1.4608289889309178
2020-09-17,1.451988882289232
2020-09-18,1.4234543945313791
2020-09-21,1.461643852382915
2020-09-22,1.4724271743076727
2020-09-23,1.408268566916862
2020-09-24,1.4343919732718058
2020-09-25,1.494909696294347
2020-09-28,1.516668815913773
2020-09-29,1.535902545325961
2020-09-30,1.5701922730035855
2020-10-01,1.5820218214570776
2020-10-02,1.516716778839193
2020-10-05,1.5819144656455855
2020-10-06,1.588476387941932
2020-10-07,1.6146832504619182
2020-10-08,1.6020567424351415
2020-10-09,1.596226206228656
2020-10-12,1.6522252313671413
2020-10-13,1.6527176717198697
2020-10-14,1.6390304964173457
2020-10-15,1.6232452336204253
2020-10-16,1.6038765430776791
2020-10-19,1.5677621647424818
2020-10-20,1.5834372085400708
2020-10-21,1.5693669350915367
2020-10-22,1.5521391077984186
2020-10-23,1.5752526266562252
2020-10-26,1.527725224226946
2020-10-27,1.5569140499458056
2020-10-28,1.4691485994408027
2020-10-29,1.513902685113521
2020-10-30,1.4544662656513307
2020-11-02,1.4614817916956642
2020-11-03,1.5124465674532037
2020-11-04,1.596636356451352
2020-11-05,1.6410307541278903
2020-11-06,1.681819147825588
2020-11-09,1.5810005750113287
2020-11-10,1.488377399105506
2020-11-11,1.5605982720068492
2020-11-12,1.5638729560702418
2020-11-13,1.5465109216515378
2020-11-16,1.5704280197478826
2020-11-17,1.564202327092005
2020-11-18,1.5704813838492644
2020-11-19,1.573528632670042
2020-11-20,1.5341725142110783
2020-11-23,1.5410531592053962
2020-11-24,1.5265590267881866
2020-11-25,1.558059383254939
2020-11-27,1.5628879478535644
2020-11-30,1.577737517550675
2020-12-01,1.5809917331153576
2020-12-02,1.5956963200107277
2020-12-03,1.5832301367289436
2020-12-04,1.6005650946418921
2020-12-07,1.611331574845458
2020-12-08,1.5845151172102319
2020-12-09,1.5331818800581027
2020-12-10,1.540643962754352
2020-12-11,1.5428253621967156
2020-12-14,1.5777061524221163
2020-12-15,1.5865257259494596
2020-12-16,1.5725007109644276
2020-12-17,1.5870881829916428
2020-12-18,1.5818565327444263
2020-12-21,1.5854221173012875
2020-12-22,1.5814294912655347
2020-12-23,1.5521306211926655
2020-12-24,1.552029428193355
2020-12-28,1.5452585075610192
2020-12-29,1.5487726231909205
2020-12-30,1.5735480244437468
2020-12-31,1.564071308652373
2021-01-04,1.569595959952507
2021-01-05,1.6026382969643798
2021-01-06,1.5156109288859654
2021-01-07,1.602760377956669
2021-01-08,1.6017381740908556
2021-01-11,1.6323453808412618
2021-01-12,1.6199132231351792
2021-01-13,1.627092838943282
2021-01-14,1.589018128596269
2021-01-15,1.5492797227549395
2021-01-19,1.569679791145738
2021-01-20,1.6100280772552362
2021-01-21,1.6674658068332466
2021-01-22,1.6514542753582022
2021-01-25,1.6497801187556553
2021-01-26,1.6269813608627632
2021-01-27,1.5676970194635815
2021-01-28,1.5772435757774173
2021-01-29,1.564576172978358
2021-02-01,1.596819659124131
2021-02-02,1.634880406286462
2021-02-03,1.6296335814774148
2021-02-04,1.6456931730361584
2021-02-05,1.6377969757577797
2021-02-08,1.731966052676321
2021-02-09,1.710651331219595
2021-02-10,1.7613974326362178
2021-02-11,1.8150297429192903
2021-02-12,1.7841594026649157
2021-02-16,1.8211849026013591
